Periodo;ipv
2025T3;183,389
2025T2;178,184
2025T1;171,296
2024T4;165,433
2024T3;162,521
2024T2;158,083
2024T1;152,618
2023T4;148,69
2023T3;150,273
2023T2;146,583
2023T1;143,58
2022T4;142,666
2022T3;143,86
2022T2;141,433
2022T1;138,742
2021T4;135,291
2021T3;133,652
2021T2;130,937
2021T1;127,831
2020T4;127,179
2020T3;128,255
2020T2;126,799
2020T1;126,695
2019T4;125,32
2019T3;126,135
2019T2;124,175
2019T1;122,758
2018T4;120,954
2018T3;120,491
2018T2;117,941
2018T1;114,994
2017T4;113,457
2017T3;112,442
2017T2;110,41
2017T1;108,239
2016T4;105,848
2016T3;105,431
2016T2;104,601
2016T1;102,775
2015T4;101,305
2015T3;101,358
2015T2;100,687
2015T1;96,651
2014T4;97,194
2014T3;97,002
2014T2;96,805
2014T1;95,208
2013T4;95,512
2013T3;96,742
2013T2;96,041
2013T1;96,768
2012T4;103,593
2012T3;105,073
2012T2;109,187
2012T1;112,861
2011T4;118,782
2011T3;123,948
2011T2;127,528
2011T1;129,059
2010T4;133,718
2010T3;133,846
2010T2;136,79
2010T1;134,626
2009T4;136,313
2009T3;136,845
2009T2;138,082
2009T1;138,693
2008T4;142,511
2008T3;147,134
2008T2;149,618
2008T1;150,082
2007T4;150,64
2007T3;151,719
2007T2;150,103
2007T1;145,935
